Provider,Model,Use_Case,Input_Token_Price,Output_Token_Price,Cached_Input_Token_Price,Has_Batch_API,batch_input_token_price,batch_output_token_price,Input_Audio_Token_Price,Output_Audio_Token_Price,Quality,Resolution,Price_Per_Image,Price_Per_Minute,Price_Per_1K_Chars,Date_Added
OpenAI,gpt-4o,text+vision,0.0025,0.01,0.00125,1.0,0.00125,0.005,,,,,,,,2025-01-02 12:43:40
OpenAI,gpt-4o-2024-11-20,text+vision,0.0025,0.01,0.00125,1.0,0.00125,0.005,,,,,,,,2025-01-02 12:44:39
OpenAI,gpt-4o-2024-08-06,text+vision,0.0025,0.01,0.00125,1.0,0.00125,0.005,,,,,,,,2025-01-02 12:45:22
OpenAI,gpt-4o-audio-preview,text+audio,0.0025,0.01,,,,,0.1,0.1999,,,,,,2025-01-02 12:45:57
OpenAI,gpt-4o-audio-preview-2024-12-17,text+audio,0.0025,0.01,,,,,0.04,0.08,,,,,,2025-01-02 12:47:24
OpenAI,gpt-4o-audio-preview-2024-10-01,text+audio,0.0025,0.01,,,,,0.1,0.2,,,,,,2025-01-02 12:47:52
OpenAI,gpt-4o-2024-05-13,text+vision,0.005,0.015,0.0,1.0,0.0025,0.0075,,,,,,,,2025-01-02 12:48:26
OpenAI,gpt-4o-mini,text+vision,0.00015,0.0006,7.5e-05,1.0,7.5e-05,0.0003,,,,,,,,2025-01-02 12:49:25
OpenAI,gpt-4o-mini-2024-07-18,text+vision,0.00015,0.0006,7.5e-05,1.0,7.5e-05,0.0003,,,,,,,,2025-01-02 12:49:46
OpenAI,gpt-4o-mini-audio-preview,text+audio,0.00015,0.0006,,,,,0.01,0.02,,,,,,2025-01-02 12:50:12
OpenAI,gpt-4o-mini-audio-preview-2024-12-17,text+audio,0.00015,0.0006,,,,,0.01,0.02,,,,,,2025-01-02 12:50:30
OpenAI,DALL·E 3,image,,,,,,,,,Standard,1024×1024,0.04,,,2025-01-02 12:51:52
OpenAI,DALL·E 3,image,,,,,,,,,Standard,1792×1024 &1024×1792,0.08,,,2025-01-02 12:53:23
OpenAI,DALL·E 3,image,,,,,,,,,HD,1024×1024,0.08,,,2025-01-02 12:53:40
OpenAI,DALL·E 3,image,,,,,,,,,HD,1792×1024 &1024×1792,0.12,,,2025-01-02 12:53:49
OpenAI,DALL·E 2,image,,,,,,,,,Standard,1024×1024,0.02,,,2025-01-02 12:54:06
OpenAI,DALL·E 2,image,,,,,,,,,Standard,512×512,0.018,,,2025-01-02 12:54:15
OpenAI,DALL·E 2,image,,,,,,,,,Standard,256×256,0.016,,,2025-01-02 12:54:23
OpenAI,Whisper,audio,,,,,,,,,,,,0.006,0.0,2025-01-02 12:55:04
OpenAI,TTS,audio,,,,,,,,,,,,0.0,0.015,2025-01-02 12:55:32
OpenAI,TTS HD,audio,,,,,,,,,,,,0.0,0.03,2025-01-02 12:55:41
